Sample,Type,B1-Life,1st_Discharge,1st_Charge,1st_IR,1st_Temp,Discharge2-1,Charge2-1,IR2-1,Temp2-1,Discharge5-1,Charge5-1,IR5-1,Temp5-1,Discharge10-1,Charge10-1,IR10-1,Temp10-1,Discharge20-1,Charge20-1,IR20-1,Temp20-1,Discharge50-1,Charge50-1,IR50-1,Temp50-1,Discharge100-1,Charge100-1,IR100-1,Temp100-1
2017-05-12-37,High,704,1.0778,1.078,0.0165,31.9349,0.0013,0.0011,-1.00E-04,-0.0097,0.0029844,0.0027011,-1.10E-04,0.008654,0.003859,0.0035527,-0.000171069,0.077158,0.0040619,0.0036499,-0.000155382,-0.041156,0.0043,0.0038,-0.0002,0.7097,0.0023983,0.0019239,7.6774E-05,0.11276
2017-05-12-36,High,703,1.0707,1.0712,0.0171,31.9609,0.0013,0.0011,-1.00E-04,0.0171,0.0028042,0.0024883,-1.44E-04,-0.002149,0.0035505,0.0031195,-0.000205781,0.0275,0.0040581,0.0035708,-0.000216288,-0.05603,0.0047,0.0042,-0.0003,0.8799,0.0032355,0.0026673,-1.758E-06,0.171203
2017-05-12-43,High,702,1.0799,1.0803,0.0168,33.4414,0.0014,0.0014,-1.00E-04,0.0072,0.0030167,0.0029328,-1.40E-04,-0.0358,0.0039147,0.0037614,-0.000219321,0.063152,0.0042161,0.003947,-0.000176969,-0.041147,0.0045,0.0042,-0.0001,0.5561,0.003303,0.0029572,6.2111E-05,0.200619
2017-05-12-19,High,691,1.0662,1.0658,0.0199,31.2946,0.0006,0.0009,0,0.0784,0.0021733,0.0024282,-1.3868E-05,0.041757,0.0021745,0.1321401,-1.3868E-05,0.026364,0.0039082,0.4071167,-1.3868E-05,0.025371,0.0026,0.0028,0.0000,-1.1479,-0.0017991,-0.001737,-0.004005637,1.060525
2018-04-12-7,High,667,1.062,1.0616,0.0135,34.0697,0.0006,0.0006,0,-0.0306,0.0010716,0.0011916,5.0496E-05,-0.028746,0.0004539,0.0007062,8.2986E-05,-0.135163,-0.0020589,-0.0018829,0.000152379,0.03771,-0.0082,-0.0082,0.0003,0.1577,-0.01822,-0.0181932,0.000347317,0.023817
2017-06-30-8,High,663,1.0219,1.0199,0.0171,31.9333,0.0014,0.0034,-0.0002,0.4424,0.0018931,0.003803,-0.000104395,0.453626,0.0015103,0.0031194,-0.00040844,-0.403063,-0.0002661,0.0016777,-0.000416517,0.144322,-0.0035,-0.0037,-0.0001,0.3474,-0.0113879,-0.0094732,0.000281825,-0.448137
2017-05-12-44,High,651,1.0682,1.0686,0.0161,33.3206,0.0012,0.0011,0,0.0085,0.0026795,0.0022795,-7.7428E-05,-0.033745,0.0033132,0.0029396,-0.000123694,-0.002436,0.0033381,0.002857,-9.4428E-05,-0.161837,0.0029,0.0024,-0.0001,0.5316,0.0005802,2.15E-05,0.000140412,0.043173
2017-05-12-38,High,648,1.0748,1.0751,0.0166,32.8349,0.0013,0.0011,0,-0.0086,0.0026544,0.0024251,-6.8782E-05,0.010023,0.0036283,0.0033566,-0.000145024,0.035145,0.0038675,0.0034657,-0.000143344,-0.070078,0.0042,0.0037,-0.0002,0.8379,0.0019663,0.0015037,8.076E-05,0.129524
2017-05-12-7,High,636,1.0758,1.0752,0.017,32.513,0.0015,0.0016,0,0.0253,0.0040916,0.0041256,-0.000164957,0.015701,0.0055106,0.0056398,-0.000302604,-0.067873,0.0059535,0.0059573,-0.000362962,-0.338144,0.0060,0.0061,-0.0003,-0.3356,0.0033765,0.0034927,-0.000332131,-0.249589
2017-05-12-40,High,625,1.0818,1.0821,0.0167,33.3566,0.0014,0.0013,0,-0.0056,0.0029878,0.0028563,-6.1583E-05,0.010382,0.0039193,0.0037279,-0.000108023,0.103973,0.0043219,0.0040828,-0.000115974,0.009112,0.0042,0.0038,0.0000,0.0556,0.002951,0.0026117,0.000139597,0.285788
2017-05-12-39,High,617,1.073,1.0734,0.0163,33.5206,0.001,0.0011,-1.00E-04,0.0069,0.0022445,0.0021012,-1.63E-04,-0.003877,0.0032513,0.0029669,-0.000196831,0.103988,0.0035978,0.0031896,-0.000203762,0.00151,0.0030,0.0027,-0.0001,0.0930,0.0019282,0.0015785,3.9099E-05,0.296789
2017-05-12-45,High,616,1.0848,1.0851,0.0174,32.4118,0.0013,0.0012,0,0.017,0.0028219,0.0026569,-2.568E-05,-0.068675,0.0034884,0.0032278,-0.000103798,0.041332,0.0034655,0.003167,-8.4728E-05,-0.040961,0.0024,0.0020,0.0000,0.3021,-6.4E-05,-0.000455,0.000191191,0.22196
2017-05-12-46,High,599,1.084,1.0841,0.0167,32.7765,0.0013,0.0012,0,0.0433,0.0027909,0.0026825,-9.1674E-05,-0.008264,0.0036058,0.003376,-0.000142398,0.076523,0.0038397,0.0035741,-0.000127774,-0.012794,0.0037,0.0033,0.0000,0.3803,0.001796,0.0014063,0.000142401,0.363249
2017-06-30-11,High,561,1.0651,1.0645,0.0184,32.9803,0.004,0.0034,-1.00E-04,-0.2071,0.0069686,0.0065732,-4.02E-04,0.084925,0.008099,0.0078852,-0.000442776,0.122563,0.0087108,0.0085619,-0.000596955,0.041685,0.0073,0.0072,-0.0007,0.5603,0.0019482,0.0018983,-0.000713585,0.260076
2017-05-12-22,High,559,1.0824,1.0816,0.0153,33.3927,0.0012,0.0012,0,0.0869,0.0027753,0.0026835,-0.000177572,0.086628,0.0033977,0.0033277,-0.000236248,-0.00642,0.0023108,0.0020861,-0.000190687,-0.355511,0.0009,0.0007,-0.0002,-0.2864,-0.0057884,-0.0059661,-0.00017339,-0.332656
2018-04-12-29,Low,541,1.0513,1.0512,0.0132,35.5116,0.0006,0.0006,0,-0.0017,0.0013985,0.0015159,-1.8959E-05,-0.112785,0.0011576,0.0013346,2.1229E-05,-0.179849,-0.0003962,-0.0002374,8.749E-05,-0.043365,-0.0062,-0.0061,0.0002,0.2393,-0.0172907,-0.0171981,0.000405327,0.418453
2017-06-30-37,Low,535,1.0754,1.0752,0.0204,32.9652,0.0043,0.0041,-0.0002,0.408,0.0064433,0.006241,-0.000348131,0.595364,0.0079874,0.0078725,-0.000278865,0.183026,0.0097196,0.0096165,-0.000325998,0.509643,0.0105,0.0104,-0.0002,0.3200,0.0098383,0.0097758,-8.4861E-05,0.674789
2017-05-12-21,Low,534,1.0726,1.0719,0.0157,32.4075,0.0011,0.0011,0,0.0385,0.0026697,0.0026264,-0.000200429,0.04619,0.0030773,0.0030729,-0.000350229,-0.059639,0.0015116,0.0014143,-0.00038768,-0.308056,-0.0017,-0.0017,-0.0005,-0.3773,-0.0115479,-0.011439,-0.000532476,-0.296899
2017-06-30-24,Low,527,1.0714,1.0714,0.0178,32.2469,0.0031,0.0028,1.00E-04,-0.3506,0.0055193,0.0053112,-1.68E-04,-0.235369,0.0065557,0.0063233,-0.000477236,-0.078239,0.0064863,0.0062498,-0.000584707,0.052246,0.0048,0.0046,-0.0007,-0.1270,2.35E-05,-0.0002491,-0.000748434,0.18153
2017-06-30-34,Low,520,1.0759,1.0758,0.0177,32.8583,0.0032,0.0031,0,-0.388,0.0060733,0.0062354,-0.00017315,-0.081276,0.0075111,0.0077106,-0.000200682,-0.13312,0.0086537,0.0088145,-0.000180291,0.160033,0.0093,0.0094,-0.0001,0.0833,0.0088911,0.0090359,9.4212E-05,0.416517
2017-06-30-33,Low,519,1.0712,1.0708,0.0177,33.2218,0.0031,0.0032,-1.00E-04,-0.5896,0.0061442,0.0067267,-8.93E-05,-0.343036,0.0075864,0.0078072,-0.000293095,-0.165776,0.0086937,0.0090985,-0.000182282,-0.084888,0.0095,0.0101,-0.0002,0.2437,0.0083146,0.0087352,5.5082E-05,-0.06431
2017-06-30-23,Low,513,1.0757,1.0757,0.0174,31.7336,0.004,0.0038,-1.00E-04,0.2555,0.0071061,0.0070557,-2.98E-04,0.414283,0.0081825,0.0080343,-0.000302093,0.132773,0.0091091,0.0090813,-0.000434106,0.2528,0.0092,0.0091,-0.0003,0.0943,0.0068431,0.0068242,-0.000406706,0.267356
2017-06-30-7,Low,511,1.0652,1.0648,0.017,32.6071,0.0035,0.0031,-0.0002,-0.0906,0.0061428,0.0056954,-0.000693577,0.475497,0.0072788,0.0069726,-0.000806962,0.188281,0.0065537,0.0063694,-0.001002609,0.585319,0.0010,0.0008,-0.0013,-0.2776,-0.0130008,-0.0129864,-0.001199924,-0.255317
2017-06-30-29,Low,509,1.0682,1.0682,0.0173,33.065,0.0034,0.0008,-1.00E-04,-0.5043,0.006073,0.0053298,-8.27E-05,-0.316521,0.0078785,0.0033975,-0.000263022,-0.166912,0.0091394,0.0002345,-0.000198667,-0.148605,0.0096,0.0095,-0.0003,0.1938,0.0077076,0.0078,-0.000151028,-0.114935
2017-06-30-21,Low,502,1.0787,1.0786,0.0177,32.4292,0.0044,0.0041,-0.0002,0.1515,0.0077058,0.0075241,-0.000512988,0.495362,0.0086606,0.0084129,-0.00019224,-0.017941,0.0099576,0.0097702,-0.000321897,0.305796,0.0103,0.0086,-0.0002,0.0687,0.0075604,0.0074709,-0.000251172,0.403248
2017-06-30-35,Low,499,1.065,1.0652,0.0178,33.1799,0.0039,0.0032,-1.00E-04,-0.0002,0.007331,0.0069631,-2.11E-04,0.273456,0.0086306,0.0083034,-0.000291579,-0.018075,0.0098718,0.0095477,-0.000303133,0.296792,0.0106,0.0102,-0.0002,0.2648,0.0096909,0.0093982,-0.000286147,0.455706
2017-06-30-41,Low,499,1.0736,1.072,0.0175,33.3722,0.003,0.0032,1.00E-04,-0.6551,0.0063356,0.0079217,-1.06E-04,-0.422913,0.0080238,0.0098599,-0.000322813,-0.303354,0.0089531,0.0107787,-0.000270279,-0.048086,0.0091,0.0110,-0.0004,-0.0421,0.0062434,0.0074256,-0.000387495,0.225021
2017-06-30-30,Low,498,1.0699,1.0701,0.0171,33.4194,0.0026,0.0021,0,-0.3714,0.0047225,0.0026082,-0.000118005,-0.077323,0.0063185,0.0056619,-0.000176464,-0.166071,0.007734,0.0070827,-0.000173318,0.081705,0.0092,0.0085,-0.0001,0.0128,0.0088998,0.0081884,8.566E-05,0.373252
2017-06-30-25,Low,495,1.064,1.0641,0.0174,29.9893,0.004,0.0036,0.0001,0.348,0.0072154,0.0068345,-3.9423E-05,0.617842,0.0070604,0.0067447,-0.000147905,-0.195908,0.0083301,0.0079903,-0.000457484,0.335831,0.0086,0.0083,-0.0003,-0.1944,0.0070108,0.0067427,-0.000171885,0.02209
2017-06-30-18,Low,494,1.0649,1.0653,0.0177,31.6505,0.0007,0.0014,1.00E-04,-1.0819,0.0073336,0.0062117,2.87E-04,-0.677324,0.0082639,0.007771,-0.000311855,-0.330306,0.0096831,0.0087398,-0.000254786,-0.10964,0.0110,0.0108,-0.0006,-0.2897,0.008937,0.0084398,-0.000424339,0.171909
2017-06-30-32,Low,492,1.0695,1.0696,0.0178,31.7192,0.0038,0.0032,-1.00E-04,-0.2063,0.0070644,0.0051935,-1.36E-04,-0.103755,0.0088074,0.0085277,-0.000327688,0.010923,0.009789,0.0095484,-0.000282387,0.037802,0.0105,0.0102,-0.0003,0.1149,0.0090081,0.0087761,-0.000148574,0.08878
2017-06-30-22,Low,489,1.0719,1.0717,0.018,32.2616,0.005,0.0047,-0.0003,0.4346,0.0081804,0.0081224,-0.000480722,0.647204,0.0087184,0.0086078,-0.000451016,0.080756,0.0098771,0.0098431,-0.000559759,0.387208,0.0086,0.0085,-0.0006,0.0240,0.0047457,0.0046689,-0.000603461,-0.06619
2017-06-30-19,Low,487,1.061,1.0614,0.0177,33.2482,0.0028,0.0024,-0.0002,-0.8731,0.0045496,0.0041494,-0.000385789,-0.586728,0.0059696,0.0055889,-0.000431767,-0.344589,0.0060643,0.0056145,-0.000382196,-0.556126,0.0045,0.0038,-0.0007,-0.1350,-0.0021914,-0.0024057,-0.000599014,-0.037262
2017-06-30-46,Low,487,1.0662,1.0662,0.0174,32.3681,0.0043,0.004,-0.0002,0.3989,0.0070507,0.0068867,-0.000382673,0.487286,0.0077754,0.0076811,-0.000343628,0.076992,0.0089644,0.0088539,-0.000430638,0.401299,0.0089,0.0087,-0.0004,0.0662,0.0068408,0.0067901,-0.000373559,0.405104
2017-06-30-15,Low,485,1.0743,1.0744,0.0173,32.5697,0.0038,0.0035,-1.00E-04,0.1681,0.0065921,0.0048562,-2.63E-04,0.318549,0.0073983,0.0071505,-0.00031089,0.151537,0.0082062,0.0079083,-0.00033188,0.262951,0.0084,0.0080,-0.0003,0.1560,0.0066475,0.0063631,-0.000268902,0.528988
2017-06-30-14,Low,483,1.0761,1.0762,0.0173,33.0549,0.0042,0.0039,-0.0002,0.1621,0.0066806,0.0064939,-0.000487066,0.32703,0.0069935,0.0067475,-0.000552434,0.05695,0.0068653,0.0066016,-0.000709395,0.219399,0.0039,0.0037,-0.0007,0.2090,-0.0044755,-0.0046111,-0.000709788,0.575282
2017-06-30-17,Low,483,1.0075,1.0032,0.0173,31.4518,0.0021,0.0037,0,-0.033,0.0047658,0.0082325,-6.4553E-05,-0.15131,0.0042421,0.0082434,-0.000352749,0.400091,0.0047899,0.0088008,-0.000161301,0.117732,0.0035,0.0076,-0.0001,-0.0934,-0.0016874,0.0024834,-6.1925E-05,-0.11815
2017-06-30-31,Low,481,1.0635,1.0635,0.0179,32.3936,0.0038,0.0035,-1.00E-04,-0.1342,0.0061967,0.0059771,-2.00E-04,0.03151,0.0076464,0.0074388,-0.000367158,0.051296,0.0087712,0.0085888,-0.000416725,0.06724,0.0096,0.0093,-0.0004,-0.0345,0.007749,0.0075371,-0.000426651,0.078839
2017-06-30-6,Low,480,1.0642,1.0642,0.0172,31.8968,0.0038,0.0033,0,0.154,0.0063818,0.0059044,-0.000206606,0.371672,0.007097,0.0065784,-0.000259352,-0.092328,0.0081876,0.0076845,-0.000433925,0.248011,0.0084,0.0079,-0.0003,-0.0592,0.006545,0.0060672,-0.000328326,0.275738
2017-06-30-38,Low,478,1.0712,1.0714,0.0183,31.6485,0.0036,0.0031,-1.00E-04,0.2518,0.0059992,0.0055873,-2.21E-04,0.350361,0.0074763,0.0070458,-0.000223029,0.134126,0.0088585,0.0084695,-0.000298965,0.323155,0.0101,0.0096,-0.0001,0.1746,0.010065,0.009664,1.9724E-05,0.463879
2017-06-30-12,Low,477,1.068,1.0669,0.0177,33.1258,0.0037,0.0036,-1.00E-04,-0.058,0.0063829,0.0061011,-2.70E-04,0.088551,0.0072143,0.0072302,-0.000330676,-0.111093,0.0076508,0.007712,-0.000401728,-0.014814,0.0072,0.0072,-0.0005,0.0284,0.0025185,0.0026977,-0.000615949,0.280724
2017-06-30-27,Low,471,1.0734,1.0736,0.0181,31.7603,0.0032,0.0029,-0.0001,-0.4924,0.006551,0.0061389,-3.414E-05,-0.368542,0.0080238,0.0077329,-0.000460125,-0.176993,0.0089168,0.0085773,-0.000452855,-0.073206,0.0083,0.0080,-0.0007,-0.1811,0.0039104,0.0036637,-0.000628148,0.049676
2017-06-30-28,Low,468,1.0624,1.0625,0.0177,32.0495,0.0034,0.0031,-1.00E-04,-0.4178,0.0060742,0.0057156,-1.50E-04,-0.251315,0.0077967,0.0074565,-0.000358748,0.010348,0.0086373,0.0082767,-0.000361223,-0.093966,0.0091,0.0084,-0.0004,-0.0133,0.0069567,0.006627,-0.000342686,0.097971
2017-06-30-43,Low,466,1.0746,1.075,0.0174,33.0046,0.0034,0.0031,0,-0.2494,0.0064982,0.0061411,-0.0003074,0.098041,0.0074979,0.0071508,-0.000169608,-0.152848,0.008608,0.0082679,-0.000331705,0.205074,0.0092,0.0088,-0.0002,0.0808,0.008016,0.0077343,-0.000098496,0.342856
2017-06-30-39,Low,465,1.0661,1.066,0.0179,32.01,0.0038,0.0036,-1.00E-04,-0.0512,0.0065807,0.0065291,-2.00E-04,0.077739,0.0077974,0.0077534,-0.000281912,0.010437,0.0086933,0.0085748,-0.000260356,0.201062,0.0096,0.0094,-0.0002,0.0409,0.008522,0.0083778,-8.8659E-05,0.413501
2017-06-30-36,Low,463,1.0651,1.0652,0.0176,33.2481,0.0036,0.0033,-1.00E-04,0.3868,0.0066659,0.0063419,-2.83E-04,0.539213,0.0076148,0.0071691,-0.000404704,0.113501,0.0088135,0.0084669,-0.000557408,0.420586,0.0090,0.0086,-0.0005,0.2596,0.0067495,0.0064277,-0.000517733,0.615792
2017-06-30-44,Low,462,1.0692,1.0694,0.0183,32.8128,0.0044,0.0041,-0.0002,0.0238,0.007782,0.0074204,-0.000362325,0.225558,0.0090987,0.008751,-0.000244315,-0.1051,0.0105926,0.0102422,-0.000279083,0.283327,0.0112,0.0108,-0.0002,0.0904,0.0098776,0.0095267,-8.1969E-05,0.457035
2017-06-30-20,Low,461,1.0454,1.0456,0.0179,32.641,0.0026,0.0028,0,-0.3665,0.0042798,0.004051,-0.000286639,-0.01213,0.003707,0.0036159,-0.000641807,-0.556841,0.0023476,0.0021307,-0.000927603,-0.268842,-0.0024,-0.0026,-0.0013,-0.1809,-0.0125543,-0.0127162,-0.00100593,-0.055919
2017-06-30-26,Low,461,1.0641,1.0642,0.0177,31.061,0.0032,0.0029,0,-0.42,0.0057761,0.0054796,-0.000188114,-0.219894,0.0071485,0.0067999,-0.00034488,-0.339509,0.007827,0.0075217,-0.000509348,-0.568804,0.0073,0.0070,-0.0005,-1.8096,0.0035695,0.0033095,-0.000575414,-1.679237
2017-06-30-40,Low,459,1.0744,1.0741,0.0182,31.9468,0.0041,0.0037,0,-0.0572,0.0077269,0.0076745,-0.000203272,0.042876,0.0097404,0.0097968,-0.000296985,0.035538,0.0110665,0.0111208,-0.000287746,0.214157,0.0123,0.0123,-0.0002,0.0979,0.0119159,0.0120126,4.9137E-05,0.431262
2017-06-30-13,Low,458,1.0676,1.0681,0.0173,33.3156,0.0037,0.0029,-0.0002,0.1455,0.0060918,0.003833,-0.000406185,0.288916,0.0063849,0.0057716,-0.000643627,0.012244,0.006284,0.005694,-0.00087662,0.210071,0.0025,0.0019,-0.0010,0.1495,-0.0075692,-0.0080236,-0.00112305,0.654166
2017-06-30-45,Low,457,1.0665,1.0665,0.0178,32.7124,0.0044,0.0042,-0.0002,0.2853,0.0073072,0.0072777,-0.000351739,0.430972,0.0080265,0.0079487,-0.000242439,0.054561,0.009666,0.0095624,-0.000281349,0.403111,0.0103,0.0102,-0.0001,0.0949,0.0098599,0.009742,2.216E-06,0.515819
2017-06-30-5,Low,444,1.0692,1.0692,0.017,32.8024,0.0037,0.0031,-0.0001,-0.0352,0.0060395,0.0054213,-0.000300656,0.201557,0.0060634,0.0053851,-0.000514039,-0.178572,0.006305,0.0056407,-0.000776497,0.129619,0.0036,0.0030,-0.0009,-0.0943,-0.0041086,-0.0046825,-0.000919106,0.299884
2017-06-30-3,Low,438,1.0709,1.0705,0.0178,33.0384,0.0026,0.0023,1.00E-04,-0.9787,0.0054675,0.0051452,1.16E-04,-0.601216,0.0069636,0.0066496,-0.000191868,-0.414402,0.0080341,0.0076385,-0.000212733,-0.470986,0.0082,0.0079,-0.0003,-0.1871,0.0050984,0.0047671,-0.000137685,-0.071136
2017-06-30-42,Low,429,1.0648,1.0648,0.0179,32.9688,0.0034,0.003,0,-0.3928,0.0067803,0.0065705,4.8806E-05,-0.126763,0.008498,0.0083621,-0.000173672,-0.256438,0.0101098,0.0098968,-0.000136322,0.037558,0.0109,0.0107,-0.0001,0.2336,0.0088984,0.008757,-4.009E-05,0.279037
2017-06-30-47,Low,429,1.0683,1.0682,0.0179,31.9935,0.0043,0.004,-1.00E-04,0.2596,0.0076063,0.0074184,-2.17E-04,0.421099,0.0089098,0.0087889,-0.00027199,0.066437,0.0104399,0.0103116,-0.000261967,0.380347,0.0114,0.0112,-0.0001,0.1465,0.0112197,0.0111667,9.9796E-05,0.637777
2017-06-30-4,Low,335,1.0639,1.0636,0.0171,33.5272,0.003,0.0027,-0.0003,-0.4195,0.004311,0.0039412,-0.000588547,-0.02,0.0046728,0.0041484,-0.000692913,-0.279364,0.0039701,0.0035076,-0.000793127,-0.285763,-0.0008,-0.0013,-0.0011,0.4198,-0.017166,-0.0173262,-0.000607881,0.076866
2017-06-30-1,Low,300,1.0681,1.0676,0.0175,30.3635,0.002,0.0022,0,-1.2029,0.0038097,0.0038829,-1.0811E-05,-0.881731,0.0052572,0.0054203,-0.000556027,-0.340237,0.0040538,0.0040367,-0.000696914,-0.354573,-0.0049,-0.0032,-0.0010,-0.3128,-0.029648,-0.0265064,-0.000207536,0.166909
2017-06-30-16,Low,209,0.9721,0.9738,0.0167,30.2287,-0.0004,-0.0012,0.0002,-0.3081,-0.00202296,-0.00318598,0.000113086,-0.157357,-0.00576905,-0.00707221,1.6938E-05,-0.412624,-0.01166938,-0.01306802,0.000046206,-0.099611,-0.0263,-0.0279,0.0003,-0.4417,-0.04619853,-0.04774022,0.000377602,-0.480084
2017-06-30-2,Low,148,1.0692,1.0687,0.0179,32.6188,0.0029,0.0029,-0.0003,-1.0692,0.0021807,0.002704,-0.000667873,-0.760046,-0.0001689,0.0002027,-0.000650963,-0.216949,-0.0069136,-0.0061632,-0.000644288,-0.668205,-0.0349,-0.0338,-0.0013,0.1628,-0.10086115,-0.0988882,-0.001150838,0.140656
